sep=;
regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
41202013815;LV53ZZZ41202013815;"IK ""KRASTNIEKI A I""";IK;KRASTNIEKI A I;"";0;K;Komercreģistrs;IK;Individuālais komersants;1998-02-26;2014-04-10;L;"Dundagas nov., Kolkas pag., Kolka, ""Krastnieki""";3275;103045133;100015821;0;0885162;
40008223126;LV18ZZZ40008223126;NEW LATVIAN BALLET;"";NEW LATVIAN BALLET;"";1;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2014-04-10;; ;Rīga, Āraišu iela 36 - 1A;1039;117415555;0;100003003;0010000;
40003868290;;"Sabiedrība ar ierobežotu atbildību ""AST BŪVE""";Sabiedrība ar ierobežotu atbildību;AST BŪVE;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2006-10-24;2013-12-11;L;Jūrmala, Raiņa iela 79-28;2011;116484351;0;100003036;0130000;
40103215608;;"SIA ""Baltima""";SIA;Baltima;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2009-02-17;2013-12-11;L;Rīga, Trijādības iela 4;1048;102009175;0;100003003;0010000;
40008048734;LV28ZZZ40008048734;"Mednieku klubs ""Atpūtas""";Mednieku klubs;Atpūtas;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2000-02-23;; ;Rīga, Zemes iela 4 - 69;1082;115058568;0;100003003;0010000;
44103118474;LV29ZZZ44103118474;"SIA ""JG Fitness""";SIA;JG Fitness;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2018-09-04;; ;Valmiera, Pārgaujas iela 12 - 4;4201;119165152;0;100003735;0250000;
40002158072;LV09ZZZ40002158072;IK DANDIS;IK;DANDIS;"";1;K;Komercreģistrs;IK;Individuālais komersants;2010-11-24;2014-04-09;L;"Babītes nov., Babītes pag., Vīkuļi, ""Jaunskadiņi""";2107;103045920;100015725;0;0804948;
40008228763;LV12ZZZ40008228763;"""MĀJAS APSAIMNIEKOŠANA""";"";MĀJAS APSAIMNIEKOŠANA;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2014-10-07;; ;Ozolnieku nov., Cenu pag., Brankas, Spartaka iela 9 - 13;3042;115524146;100015397;0;0546744;
40002095114;LV47ZZZ40002095114;"IK ""Dzalbe Edvīns, mediju eksperts""";IK;Dzalbe Edvīns, mediju eksperts;"";0;K;Komercreģistrs;IK;Individuālais komersants;2003-03-20;; ;Inčukalna nov., Inčukalna pag., Inčukalns, Rožu iela 25;2141;100184782;100015565;0;0806400;
40002102524;LV88ZZZ40002102524;"IK ""Dīfija""";IK;Dīfija;"";0;K;Komercreģistrs;IK;Individuālais komersants;2004-04-02;2014-04-09;L;Rīga, Avotu iela 17;1011;101858996;0;100003003;0010000;
